1693412813255,mob decapitated,Zombie,klule,[Diamond Sword]
1693416136483,player decapitated,Svea2323,Morbus_Krabus,[Diamond Sword]
1693418238769,player decapitated,Svea2323,Morbus_Krabus,[Diamond Sword]
1693420531660,mob decapitated,Vindicator,Random_der_dude,[Diamond Sword]
1693420742403,mob decapitated,Pillager,Random_der_dude,[Diamond Sword]
1693423031984,mob decapitated,Evoker,Random_der_dude,[Diamond Sword]
1693423033918,mob decapitated,Vindicator,Random_der_dude,[Diamond Sword]
1693423953199,mob decapitated,Zombified Piglin,Random_der_dude,[Diamond Sword]
1693423970244,mob decapitated,Zombified Piglin,Random_der_dude,[Diamond Sword]
1693425376515,mob decapitated,Pillager,Ichbineindino,[Netherite Sword]
1693425862466,mob decapitated,Pillager,Random_der_dude,[Diamond Sword]
1693426604310,mob decapitated,Pillager,Random_der_dude,[Diamond Sword]
1693426665367,mob decapitated,Pillager,Random_der_dude,[Diamond Sword]
1693426666136,mob decapitated,Pillager,Random_der_dude,[Diamond Sword]
1693426685908,mob decapitated,Vindicator,Random_der_dude,[Diamond Sword]
1693488439959,mob decapitated,Zombified Piglin,Ichbineindino,[Netherite Axe]
1693491435886,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693491948891,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693491999194,mob decapitated,Zombified Piglin,Speakbleyt,[Netherite Sword]
1693501646439,mob decapitated,Pillager,moerggo,[Diamond Axe]
1693502186383,mob decapitated,Pillager,moerggo,[Diamond Sword]
1693502196287,mob decapitated,Vindicator,moerggo,[Diamond Sword]
1693502453484,mob decapitated,Witch,moerggo,[Diamond Sword]
1693505212445,mob decapitated,Witch,BasisZock,[Diamond Sword]
1693506574078,mob decapitated,Zombie,klule,[Diamond Sword]
1693507885441,mob decapitated,Enderman,BasisZock,[Netherite Sword]
1693509229322,mob decapitated,Zombie,Dr_Panda__,[Pandas Rache! ]
1693509811599,mob decapitated,Shulker,klule,[Diamond Sword]
1693586715730,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588093669,mob decapitated,Evoker,Goggelha,[Diamond Sword]
1693588098170,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588105675,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588116173,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588120673,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588132673,mob decapitated,Vindicator,Goggelha,[Diamond Sword]
1693588140178,mob decapitated,Evoker,Goggelha,[Diamond Sword]
1693588147672,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588149172,mob decapitated,Evoker,Goggelha,[Diamond Sword]
1693588168672,mob decapitated,Vindicator,Goggelha,[Diamond Sword]
1693588180672,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588189674,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588212173,mob decapitated,Evoker,Goggelha,[Diamond Sword]
1693588213672,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588252674,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588255676,mob decapitated,Vindicator,Goggelha,[Diamond Sword]
1693588273684,mob decapitated,Vindicator,Goggelha,[Diamond Sword]
1693588285676,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588290175,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588293175,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588297676,mob decapitated,Vindicator,Goggelha,[Diamond Sword]
1693588306675,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588326173,mob decapitated,Evoker,Goggelha,[Diamond Sword]
1693588336687,mob decapitated,Vindicator,Goggelha,[Diamond Sword]
1693588338174,mob decapitated,Vindicator,Goggelha,[Diamond Sword]
1693588338177,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588339683,mob decapitated,Vindicator,Goggelha,[Diamond Sword]
1693588342674,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588344177,mob decapitated,Vindicator,Goggelha,[Diamond Sword]
1693588350183,mob decapitated,Evoker,Goggelha,[Diamond Sword]
1693588354687,mob decapitated,Evoker,Goggelha,[Diamond Sword]
1693588360680,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588362182,mob decapitated,Witch,Goggelha,[Diamond Sword]
1693588372694,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588380177,mob decapitated,Evoker,Goggelha,[Diamond Sword]
1693588380179,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588395181,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588399688,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588399693,mob decapitated,Vindicator,Goggelha,[Diamond Sword]
1693588401177,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588404187,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588419180,mob decapitated,Evoker,Goggelha,[Diamond Sword]
1693588420675,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588426679,mob decapitated,Witch,Goggelha,[Diamond Sword]
1693588432678,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588432681,mob decapitated,Pillager,Goggelha,[Diamond Sword]
1693588498678,mob decapitated,Vindicator,Goggelha,[Diamond Sword]
